SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;151.101.2.110;59766;443;not resolved;mobile-collector.newrelic.com;mobile-collector.newrelic.com;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49199;0-11-35-5-23-16;;0,1,2;9750dfb1be3e95b4f02d2eeead0ea657
10.0.2.15;151.101.2.202;50788;443;not resolved;sdk.foursquare.com;sdk.foursquare.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1bff249589c418e6881e847dda91068a;49199;0-11-35-23-16;;0,1,2;f30c69a500705210e6c547d244ffe506
10.0.2.15;151.101.2.202;50790;443;not resolved;sdk.foursquare.com;sdk.foursquare.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1bff249589c418e6881e847dda91068a;49199;0-11-35-23-16;;0,1,2;f30c69a500705210e6c547d244ffe506
10.0.2.15;172.217.23.194;58579;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;58580;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;172.217.23.194;58593;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00001a1a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;58594;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;58615;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;172.217.23.194;58635;443;not resolved;pubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;58636;443;not resolved;securepubads.g.doubleclick.net;pubads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
