10.0.2.15;172.217.23.234;35692;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13;cloudconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:11.499470000 CEST
172.217.23.234;10.0.2.15;443;35692;2;0x00000303;49195;23,65281,11;;;0;Oct 16, 2019 15:04:11.504644000 CEST
10.0.2.15;172.217.23.234;35694;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13;cloudconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:11.510378000 CEST
172.217.23.234;10.0.2.15;443;35694;2;0x00000303;49195;23,65281,11;;;0;Oct 16, 2019 15:04:11.515197000 CEST
10.0.2.15;54.72.196.207;57845;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.appsflyer.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:11.530882000 CEST
54.72.196.207;10.0.2.15;443;57845;2;0x00000303;49199;65281,11;;;0,1,2;Oct 16, 2019 15:04:11.566146000 CEST
10.0.2.15;172.217.23.234;35695;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13;cloudconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:11.568636000 CEST
172.217.23.234;10.0.2.15;443;35695;2;0x00000303;49195;23,65281,11;;;0;Oct 16, 2019 15:04:11.573790000 CEST
10.0.2.15;104.127.61.74;40474;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;sb.scorecardresearch.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:14.960085000 CEST
104.127.61.74;10.0.2.15;443;40474;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 16, 2019 15:04:14.965020000 CEST
10.0.2.15;52.49.94.193;43656;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.appsflyer.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:16.180799000 CEST
52.49.94.193;10.0.2.15;443;43656;2;0x00000303;49199;65281,11;;;0,1,2;Oct 16, 2019 15:04:16.216163000 CEST
10.0.2.15;151.101.66.110;41204;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;mobile-collector.newrelic.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:17.249348000 CEST
151.101.66.110;10.0.2.15;443;41204;2;0x00000303;49199;65281,0,11,35,5,23,16;;;0,1,2;Oct 16, 2019 15:04:17.262407000 CEST
10.0.2.15;104.127.61.90;42574;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;sb.voicefive.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:18.584684000 CEST
104.127.61.90;10.0.2.15;443;42574;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 16, 2019 15:04:18.590296000 CEST
10.0.2.15;52.94.224.25;45693;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;mads.amazon-adsystem.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:18.593422000 CEST
52.94.224.25;10.0.2.15;443;45693;2;0x00000303;49199;65281,11,5,16;;;0,1,2;Oct 16, 2019 15:04:18.695858000 CEST
10.0.2.15;52.94.216.48;37243;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;aax-eu.amazon-adsystem.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:19.040304000 CEST
52.94.216.48;10.0.2.15;443;37243;2;0x00000303;49199;65281,11,35,5,16;;;0,1,2;Oct 16, 2019 15:04:19.077654000 CEST
10.0.2.15;216.58.201.106;34206;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,30032;android.googleapis.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:19.254842000 CEST
216.58.201.106;10.0.2.15;443;34206;2;0x00000303;49195;23,65281,11,30032;;;0;Oct 16, 2019 15:04:19.277906000 CEST
10.0.2.15;35.190.53.75;60146;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;combine.urbanairship.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:19.383418000 CEST
35.190.53.75;10.0.2.15;443;60146;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 16, 2019 15:04:19.388792000 CEST
10.0.2.15;151.101.66.133;42276;443;1;0x00000303;49195,49196,52393,49199,49200,52392,158,159,49161,49162,49171,49172,51,57,156,157,47,53;65281,0,23,35,13,16,11,10,21;config2.mparticle.com;0x00000017;0;Oct 16, 2019 15:04:19.445758000 CEST
151.101.66.133;10.0.2.15;443;42276;2;0x00000303;49199;65281,23,16;;;;Oct 16, 2019 15:04:19.458633000 CEST
10.0.2.15;34.225.140.34;39706;443;1;0x00000303;49195,49196,52393,49199,49200,52392,158,159,49161,49162,49171,49172,51,57,156,157,47,53;65281,0,23,35,13,16,11,10;nativesdks.mparticle.com;0x00000017;0;Oct 16, 2019 15:04:19.679755000 CEST
34.225.140.34;10.0.2.15;443;39706;2;0x00000303;49199;65281,11,35,16;;;0,1,2;Oct 16, 2019 15:04:19.790881000 CEST
10.0.2.15;172.217.23.194;41813;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,65281,0,23,35,13,5,18,16,11,10,27,43690;googleads.g.doubleclick.net;0x0000fafa,0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:20.565632000 CEST
172.217.23.194;10.0.2.15;443;41813;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 16, 2019 15:04:20.587557000 CEST
10.0.2.15;172.217.23.194;41814;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;pubads.g.doubleclick.net;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:21.306797000 CEST
172.217.23.194;10.0.2.15;443;41814;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 16, 2019 15:04:21.329405000 CEST
10.0.2.15;216.58.201.78;58455;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;app-measurement.com;0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:21.355393000 CEST
216.58.201.78;10.0.2.15;443;58455;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 16, 2019 15:04:21.378818000 CEST
10.0.2.15;216.58.201.67;43596;443;1;0x00000303;31354,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,65281,0,23,35,13,5,18,16,11,10,27,39578;www.gstatic.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0;Oct 16, 2019 15:04:22.201092000 CEST
