SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;151.101.66.202;35394;443;not resolved;sdk.foursquare.com;sdk.foursquare.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1bff249589c418e6881e847dda91068a;49199;0-11-35-23-16;;0,1,2;f30c69a500705210e6c547d244ffe506
10.0.2.15;172.217.23.194;41813;443;not resolved;googleads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x0000fafa,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41814;443;not resolved;pubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41823;443;not resolved;pubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41824;443;not resolved;googleads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x0000dada,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41874;443;not resolved;googleads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41877;443;not resolved;pubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41878;443;not resolved;securepubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.194;41885;443;not resolved;pubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;172.217.23.194;41888;443;not resolved;securepubads.g.doubleclick.net;googleads.g.doubleclick.net;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;172.217.23.202;53139;443;not resolved;fonts.googleapis.com;android.googleapis.com;;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00004a4a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.232;33181;443;not resolved;ssl.google-analytics.com;ssl.google-analytics.com;AD;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49199;23-11-16;;0;7e2cc52c56f9520482ef0b6d7127a110
10.0.2.15;172.217.23.234;35691;443;not resolved;cloudconfig.googleapis.com;android.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-5-13;0x0000001d,0x00000017,0x00000018;0;3d9a16cdc1b2a98f6046af1c833054b8;49195;23-11;;0;9ab8f8c869ad234d4025e882270a547a
