SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com;52.17.174.36,52.17.133.69,52.212.234.46,54.77.210.188,52.212.211.185,52.214.159.92,52.16.191.93,52.208.148.191
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com;52.214.159.92,52.208.148.191,52.17.174.36,52.16.191.93,52.17.133.69,52.212.234.46,52.212.211.185,54.77.210.188
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com,appsflyer-web-5-2093104013.eu-west-1.elb.amazonaws.com;54.77.210.188,52.208.148.191,52.17.133.69,52.212.211.185,52.214.159.92,52.17.174.36,52.16.191.93,52.212.234.46
10.0.2.3;10.0.2.15;1;fonts.googleapis.com;1;0;0;1;fonts.googleapis.com;172.217.23.202
10.0.2.3;10.0.2.15;1;geomobileservices-pa.googleapis.com;5;0;0;5,1,1,1,1;geomobileservices-pa.googleapis.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com;216.58.201.74,172.217.23.234,172.217.23.202,216.58.201.106
10.0.2.3;10.0.2.15;1;googleads.g.doubleclick.net;2;0;0;5,1;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;googleads.g.doubleclick.net;2;0;0;5,1;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;googleads4.g.doubleclick.net;2;0;0;5,1;googleads4.g.doubleclick.net,pagead.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;ib.adnxs.com;10;0;0;5,5,1,1,1,1,1,1,1,1;ib.adnxs.com,g.geogslb.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com,ib.anycast.adnxs.com;185.33.223.206,185.33.223.208,185.33.223.83,185.33.223.216,185.33.223.204,185.33.223.202,185.33.223.197,185.33.223.221
10.0.2.3;10.0.2.15;1;identity.mparticle.com;2;0;0;5,1;identity.mparticle.com,mparticle.map.fastly.net;151.101.114.133
10.0.2.3;10.0.2.15;1;mads.amazon-adsystem.com;2;0;0;5,1;mads.amazon-adsystem.com,mads.amazon.com;52.94.224.25
10.0.2.3;10.0.2.15;1;mobile-collector.newrelic.com;4;0;0;1,1,1,1;mobile-collector.newrelic.com,mobile-collector.newrelic.com,mobile-collector.newrelic.com,mobile-collector.newrelic.com;151.101.66.110,151.101.194.110,151.101.2.110,151.101.130.110
10.0.2.3;10.0.2.15;1;nativesdks.mparticle.com;8;0;0;1,1,1,1,1,1,1,1;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;34.225.140.34,52.87.0.63,34.192.74.189,3.221.148.167,3.209.150.155,54.208.84.26,34.200.8.183,54.88.170.238
