SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;13.32.99.117;39868;443;not resolved;content.cdn.viber.com;content.cdn.viber.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1bff249589c418e6881e847dda91068a;49199;16;;;896415616b22361262d7a961b6325cfd
10.0.2.15;151.101.112.233;37188;443;not resolved;venetia.iad.appboy.com;venetia.iad.appboy.com;AD;771;49195-49196-52393-49199-49200-52392-158-159-49161-49162-49171-49172-51-57-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1d9c09ee8595b0a1e34ac5c212c0448a;49199;23-16;;;14fa42c15cd2f1eb37c60916a66d6313
10.0.2.15;185.151.204.8;58799;443;not resolved;app.adjust.com;app.adjust.com;AD;771;49195-49196-52393-49199-49200-52392-158-159-49161-49162-49171-49172-51-57-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1d9c09ee8595b0a1e34ac5c212c0448a;49200;0-11-35;;0,1,2;2f2a753a3e33128abf69c379a932879d
10.0.2.15;185.151.204.8;58800;443;not resolved;app.adjust.com;app.adjust.com;AD;771;49195-49196-52393-49199-49200-52392-158-159-49161-49162-49171-49172-51-57-156-157-47-53;0-23-35-13-16-11-10;0x00000017;0;1d9c09ee8595b0a1e34ac5c212c0448a;49200;0-11-35;;0,1,2;2f2a753a3e33128abf69c379a932879d
10.0.2.15;216.58.201.74;46157;443;not resolved;android.googleapis.com;android.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-5-13-30032;0x0000001d,0x00000017,0x00000018;0;ca75d9d90e40897206fa2a08d9100df0;49195;23-11-30032;;0;3e5b81f4815a4818df9b54eb4cdc644e
